Jumlah Tempat Pemakaman Umum (TPU) dan Kapasitas,,
,,
Kecamatan,Jumlah Makam,Kapasitas
KECAMATAN BATU,27,132082
Desa Sumberjo,4,12130
Kelurahan Songgokerto,3,29900
Desa Pesanggrahan,4,18751
Kelurahan Ngaglik,4,20500
Kelurahan Sisir,2,14800
Desa Sidomulyo,4,13000
Kelurahan Temas,3,7001
Desa Oro Oro Ombo,3,16000
KECAMATAN BUMIAJI,45,142125
Desa Giripurno,3,17500
Desa Pandanrejo,2,10700
Desa Bumiaji,5,21200
Desa Bulukerto,5,18250
Desa Punten,2,9000
Desa Tulungrejo,9,25000
Desa Sumbergondo,7,7075
Desa Gunungsari,10,18400
Desa Sumberbrantas,2,15000
KECAMATAN JUNREJO,23,94145
Desa Beji,2,15000
Desa Torongrejo,3,17500
Desa Pendem,6,36650
Desa Mojorejo,2,1510
Desa Tlekung,3,6400
Desa Junrejo,4,7585
Kelurahan Dadaprejo,3,9500
JUMLAH KOTA BATU,95,368352
,,
Sumber : Dinas Perumahan dan Permukiman,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
        ,,
